region,document_count,total_words,total_characters
Adriatic_Sea_&_Central_Mediterranean_Mixed_Forests_(PA19),2,9164,79978
Aegean_Sea_&_East_Mediterranean_Mixed_Forests_(PA18),2,10260,89990
"Afghan-Balochistan_Drylands,_Mountain_Meadows_&_Conifer_Forests_(PA30)",2,9544,85930
Alps_&_Po_Basin_Mixed_Forests_(PA13),2,11420,99862
"Altai_Mountain_Forests,_Grasslands_&_Desert_Steppe_(PA37)",2,9118,79838
Amazon_River_Estuary_(NT16),2,11592,105628
Amsterdam-Saint_Paul_Islands_(AT3),2,8554,74050
Andean_Mountain_Forests_&_Valleys_(NT11),2,10064,88050
Andean_Mountain_Grasslands_(NT5),2,9480,82456
Antarctic_Peninsula_&_Scotia_Sea_(AN2),2,9882,85816
Appalachia_&_Allegheny_Interior_Forests_(NA24),2,10264,93508
Arakan_Mountains_&_Northern_Triangle_Forests_(IM10),2,8634,74142
Azores_Forest_Islands_(PA21),2,11328,99244
Baja_California_&_Southern_Deserts_(NA30),2,10464,90406
Balearic_Sea_&_West_Mediterranean_Mixed_Forests_(PA20),2,9920,87638
Baltic_Sea_&_Sarmatic_Mixed_Forests_(PA11),2,10380,90132
Bermuda_(NA26)_,2,10114,88604
"Black_Sea,_Caucasus-Anatolian_Mixed_Forests_&_Steppe_(PA17)",2,9306,80814
Borneo_Tropical_Forests_&_Sundaland_Heath_Forests_(IM16),2,13144,112966
Brazilian_Atlantic_Dry_Forests_(NT15),2,10640,93894
Brazilian_Atlantic_Moist_Forests_(NT14),2,10870,93322
Canadian_Shield_&_Coastal_Taiga-Forests_(NA9),2,9758,83744
Canadian_Tundra_(NA2),2,10420,90720
Cape_Verde_Islands_(AT24),2,11952,106078
Caribbean_Islands_(NT26),2,10100,92380
Carpathian_Mountain_&_Plains_Mixed_Forests_(PA14),2,10194,88820
Cascades_Mountain_Forests_&_Valleys_(NA16),2,9300,80086
"Caspian_Sea,_Coastal_Deserts_&_Kopet_Dagh_Mountain_Woodlands_(PA33)",2,8826,76122
Central_Amazonian_Forests_(NT19),2,11872,103662
Central_American_Isthmian_&_Colombian_Coastal_Forests_(NT24),2,9790,84012
Central_American_Mixed_Forests_(NT25),2,9568,84590
Central_Asian_Deserts_&_Riparian_Woodlands_(PA32),2,10182,88130
Central_Congolian_Tropical_Forests_(AT14),2,11054,94544
Central_Indian_Ocean_Islands_(IM1),2,10456,94304
Central_Polynesian_Islands_(OC4),2,9476,84596
Cerrado_Savannas_(NT13),2,9240,79518
Chaco_Grasslands_(NT4),2,10732,93088
Chang_Jiang_Plain_Evergreen_Forests_(PA50),2,11520,98782
Chilean_Matorral_Shrublands_&_Savanna_(NT6),2,9222,79732
Chilean_Mixed_Forests_(NT1),2,11158,96984
Colorado_Plateau_&_Mountain_Forests_(NA19),2,9762,85364
Columbia_Plateau_&_Blue_Mountains_(NA17),2,8942,75332
Continental_Antarctica_(AN1),2,9488,83168
Coral_Sea_&_New_Caledonia_Islands_(AU10),2,10008,86292
Dinaric_Mountains_&_Balkan_Mixed_Forests_(PA15),2,11084,94636
Dzhagdy_Mountain_Conifer_Forests_(PA45),2,9002,76866
East_African_Coastal_Forests_(AT7),2,11112,97704
East_Australian_Mediterranean_Woodlands_&_Temperate_Savannas_(AU4),2,10240,90064
East_Australian_Temperate_Forests_&_Mountain_Shrublands_(AU3),2,11088,97598
East_Eurasian_Coastal_Tundra_(PA5),2,10082,86902
East_Micronesian_Islands_(OC7),2,8852,75976
Ecuadorean_Dry_Coastal_Forests_&_Flooded_Grasslands_(NT10),2,10256,92560
European_Interior_Mixed_Forests_(PA12),2,9958,87250
Far_Northern_Pacific_Coast_(NA5),2,9668,83012
Fiji_&_Tongan_Tropical_Islands_(OC6),2,9120,79750
Galápagos_Islands_(NT9),2,10022,89748
Great_Basin_&_Columbia_Steppe_(NA18),2,9978,85970
"Great_Britain,_Ireland_&_Faroe_Islands_(PA9)",2,9310,81062
Greater_African_Subequatorial_Savannas_&_Mixed_Woodlands_(AT11),2,9702,85836
Greater_Alaska_Taiga_&_Tundra_(NA4),2,11006,95524
Greater_Australian_Interior_Desert_&_Shrublands_(AU7),2,10232,88406
Greater_California_(NA31),2,10702,93232
Greater_Deccan-Sri_Lankan_Forests_&_Drylands_(IM8),2,9822,85618
Greater_Eurasian_Tundra_(PA4),2,8920,77684
Greater_Gobi_Desert_(PA43),2,10426,88590
Greater_Karoo_&_Kalahari_Drylands_(AT9),2,10615,92411
Greater_Rockies_&_Mountain_Forests_(NA13),2,10554,93214
Greater_Tibetan_Plateau_Alpine_Meadows_&_Shrublands_(PA40),2,10392,88946
Greater_Yukon_(NA6),2,9896,85714
Greenland_(NA1),2,8522,74312
Guam_&_Marianas_Dry_Tropical_Islands_(OC9),2,10126,85540
Guianan_Forests_&_Savanna_(NT21),2,9320,82494
Guizhou_&_Yunnan_Subtropical_Forest_Plateaus_(PA52),2,11942,102348
Gulf_of_Guinea_Coastal_Forests_&_Mangroves_(AT17),2,12598,113168
Hawai’i_Tropical_Islands_(OC11),2,10440,95826
Hengduan_Mountain_Conifer_Forests_(PA53),2,9722,83438
Himalayan_Mixed_Forests_&_Grasslands_(IM5),2,10846,94898
Iceland_(PA2),2,9760,84816
Indian_Dry_Deciduous_Forests_(IM3),2,9394,80504
Indian_Tropical_Coastal_Forests_(IM2),2,10198,87928
Indochina_Mixed_Forests_&_Peatlands_(IM12),2,9280,80376
Interior_Plateau_&_Southern_Great_Lakes_Forests_(NA23),2,11684,103984
Irrawaddy_&_North_Indochina_Mixed_Forests_(IM11),2,9382,80498
Japan_Forest_Islands_(PA47),2,10280,93924
Javan-Bali_Tropical_Rainforests_(IM17)_,2,11084,98808
Juan_Fernández_&_Desventuradas_Islands_(NT7),2,9776,85186
Junggar_Semi-Desert_&_Ermin_Valley_Steppe_(PA38),2,9420,79556
Kazakh_Forest_Steppe_&_Grasslands_(PA34),2,10556,89998
Korean_Peninsula_Mixed_Forests_(PA48),2,10134,88196
"Lake_Turkana-Sudd_Grasslands,_Bushlands_&_Forests_(AT21)",2,10288,91712
Llanos_&_Dry_Forests_(NT22),2,9756,83372
Loess_Plateau_&_Huang_He_Plain_Mixed_Forests_(PA49),2,10896,92612
Lord_Howe_&_Norfolk_Islands_(AU2),2,8976,76888
Madagascar_Island_(AT6),2,10638,91460
Madeira_Evergreen_Island_(PA22),2,8926,77864
Manchuria-Ussuri_Mixed_Forests_&_Meadow_Steppes_(PA46),2,10754,91614
Mandara_Mountain_&_North_Congolian_Forest-Savannas_(AT16),2,9380,81356
Marquesas_Tropical_Islands_(OC2),2,9858,87544
Mascarene_Tropical_Forest_Islands_(AT4),2,11432,101210
Mexican_Dry_&_Coniferous_Forests_(NT28),2,10666,92448
Mexican_Subtropical_Islands_(NT29),2,9426,79940
Mid-Canada_Boreal_Plains_&_Foothill_Forests_(NA8),2,10754,97958
Midwestern_Tallgrass_Prairie_&_Forest_Transition_(NA21),2,9944,86000
"Mongolian_Grasslands,_Alpine_Meadows_&_Forest_Steppe_(PA44)",2,9068,78554
Myanmar_Coastal_Rainforests_&_Andaman_Sea_Islands_(IM9),2,10968,96848
Nansei_Islands_Subtropical_Evergreen_Forests_(IM14),2,9658,87014
New_Guinea_&_Surrounding_Islands_(AU13),2,10040,85442
New_Zealand_(AU1),2,11176,95188
North_Alaskan_Tundra_(NA3),2,9554,82844
North_Australian_Tropical_Savannas_(AU8),2,9588,82806
North_Congolian_Lowland_Forests_(AT15),2,10784,92824
North_Indian_Tropical_Forests_&_Sundarbans_(IM6),2,9828,84174
North_Indomalayan_Deserts_&_Scrub_Forest_(IM4),2,9980,85948
Northeastern_American_Mixed_Forests_(NA10),2,11742,103992
Northern_Amazonian_Forests_(NT20),2,9344,82118
Northern_Deccan_&_Odisha_Tropical_Forests_(IM7),2,10482,92400
Northern_Great_Lakes_Forests_(NA11),2,9266,80996
Northern_Prairie_&_Aspen_Forests_(NA12),2,10320,92196
"Northern_Sahara_Deserts,_Savannas_&_Marshes_(PA24)",2,11618,98702
"Northwest_Canadian_Taiga,_Lakes,_&_Wetlands_(NA7)",2,11486,104396
Northwest_Intermountain_Conifer_Forests_(NA14),2,9806,85630
Ogasawara_Subtropical_Islands_(OC10),2,9950,84338
Ordos_Plateau_Steppe_&_Mountain_Conifer_Forests_(PA42),2,8820,75230
Ozarks_Mixed_Forests_(NA22),2,10144,87014
Pacific_Northwest_Coastal_Forests_(NA15),2,11190,95912
Palau_&_Caroline_Tropical_Islands_(OC8),2,12298,104344
Pantanal_Flooded_Grasslands_&_Dry_Forests_(NT12),2,10060,87882
Patagonia_Steppe_&_Low_Mountains_(NT2),2,9164,80130
Peninsular_Malaysian_&_Sumatran_Tropical_Rainforests_(IM18),2,11700,104034
Persian_Deserts_&_Mountain_Woodlands_(PA29),2,9244,80340
Philippines_&_Sulu_Sea_Tropical_Forests_(IM15),2,10298,89430
Pontic_Steppe_Grasslands_(PA16),2,10346,89790
Queensland_Tropical_Rainforests_&_Savannas_(AU9),2,10298,91716
"Red_Sea,_Arabian_Deserts_&_Salt_Marshes_(PA26)",2,11566,97828
Rio_de_la_Plata_Grasslands_(NT3),2,10818,92188
Russian_Arctic_Desert_Islands_(PA1),2,9862,83230
Sahel_Acacia_Savannas_(AT23),2,12280,102468
Salas_y_Gómez_&_Easter_Islands_(OC1),2,9996,83662
Samoa_&_West_Polynesian_Tropical_Islands_(OC5),2,10754,93060
"Sayan_Mountain_Conifer_Forests,_Alpine_Meadows_&_Steppe_(PA36)",2,9054,77162
Scandinavian_Birch_&_Coastal_Conifer_Forests_(PA3),2,10712,93344
"Sea_of_Okhotsk_Coastal_Taiga,_Meadows_&_Tundra_(PA6)",2,10156,88376
Seychelles_&_Comoros_Tropical_Islands_(AT5),2,9240,81258
Siberian_Boreal_Forests_&_Mountain_Tundra_(PA7),2,9408,82454
Siberian_Hemiboreal_Forests_&_Steppe_(PA35),2,10112,87178
Sichuan_Basin_&_Central_Mountain_Forests_(PA51),2,10402,90250
Sierra_Madre_Forests_&_Mexican_Drylands_(NA29),2,9224,81412
Solomon_Islands_(AU12),2,10594,92472
South_African_Cape_Shrublands_&_Mountain_Forests_(AT2),2,11066,92992
South_American_Coastal_Deserts_(NT8),2,10066,85894
"South_Australian_Mediterranean_Forests,_Woodlands_&_Scrub_(AU5)",2,10048,87888
South_Caspian_Coastal_&_Mountain_Mixed_Forests_(PA28),2,9564,81376
South_China_Subtropical_Evergreen_&_Monsoon_Forests_(IM13),2,11972,106322
South_Congolian_Forest-Savannas_&_Coastal_Scarp_(AT13),2,8632,74066
South_Mediterranean_Mixed_Woodlands_&_Forests_(PA23),2,11290,97648
South_Red_Sea_&_Gulf_of_Aden_Coastal_Drylands_(AT22),2,9590,82312
Southeast_African_Subtropical_Grasslands_(AT8),2,10794,94473
Southeast_Indonesian_Dry_Forest_Islands_(AU15),2,10780,94468
Southeast_Polynesian_Islands_(OC3),2,9376,82102
Southeast_Savannas_&_Riparian_Forests_(NA25),2,11266,102356
Southern_Amazonian_Forests_(NT17),2,10830,97898
Southern_Mixed_Forests_&_Blackland_Prairies_(NA28),2,9446,81464
Southern_Prairie_Mixed_Grasslands_(NA20),2,9482,82872
Southern_Sahara_Deserts_&_Mountain_Woodlands_(PA25),2,9892,84658
Southwest_African_Coastal_Drylands_(AT10),2,10275,88695
St._Helena_&_Ascension_Islands_(AT18),2,8836,73874
Subantarctic_Antipodes_Islands_(AN4),2,8518,73838
Subantarctic_Indian_Ocean_Islands_(AN3),2,9944,86842
Sulawesi_&_Maluku_Islands_(AU14),2,9392,83480
Taklimakan_Desert_&_Lowland_Deciduous_Forests_(PA39),2,10932,93894
"Tian_Shan-Pamir_Grasslands,_Mountain_Steppe_&_Conifer_Forests_(PA31)",2,10106,89004
"Tibetan-Pamir_Alpine_Steppes,_Shrublands_&_Mountain_Forests_(PA41)",2,9672,84018
Tristan_Volcanic_Islands_(AT1),2,8066,68504
Ural_Mountains_&_West_Eurasian_Taiga_Forests_(PA8),2,8340,72536
Vanuatu_Islands_(AU11),2,11168,95290
Venezuelan_Coast_(NT23),2,10814,92622
Victoria_Basin_&_Albertine_Rift_Forests_(AT12),2,9992,86864
West_African_Coastal_Forests_&_Savanna_(AT19),2,10374,88698
West_Australian_Dry_Coastal_Shrublands_(AU6),2,11764,102158
West_European_Coastal_Mixed_Forests_(PA10),2,11016,100398
West_Sudanian_Savanna_(AT20),2,11224,96618
Western_Amazonian_Forests_&_Plains_(NT18),2,11526,101688
Western_Gulf_Coastal_Grasslands_(NA27),2,10118,90756
Yucatan_&_Veracruz_Mixed_Forests_(NT27),2,11442,101334
Zagros_Mountain_Forests_&_East_Anatolian_Steppe_(PA27),2,9270,77704
